Sequence,survey.status,dev.status,ecosystem,my.eco.role,my.eco.years,value.eco.stability,value.eco.innovation,value.eco.replicability,value.eco.compatibility,value.eco.rapid.access,value.eco.quality,value.eco.commerce,value.eco.community,value.eco.openness,value.eco.curation,value.eco.fun,value.eco.confidence,power.eco.endusers,power.eco.devs,power.eco.leaders,power.eco.gatekeepers,power.eco.sponsors,power.fair,health.eco.not.recruit,health.eco.leave,health.eco.not.innov,health.eco.isolated,health.eco.not.diverse,health.eco.unstable,health.eco.similar,health.eco.low.quality,health.eco.not.rapid,health.eco.dllhell,health.eco.not.democratic,health.eco.not.commercial,my.package.named,my.is.submitted,my.has.revdeps,package.default,value.my.stability,value.my.innovation,value.my.replicability,value.my.compatibility,value.my.rapid.access,value.my.quality,value.my.commerce,value.my.community,value.my.openness,value.my.curation,value.my.fun,change.dep.freq,change.pkg.freq,rel.batch,rel.backcompat.design,rel.fixed.schedule,sync.sched,rel.backcompat.extra.time,upgr.backport,rel.constrained.from.changes,know.users.needs,mon.semver.eco,mon.versionless.updates.eco,sync.sched.eco,gate.strict.standards.eco,mon.versionless.updates,mon.semver,mon.change.log,sync.headsup,rework.migration.guide,rework.assist.user,sync.liaison,sync.liaison.code,sync.liaison.freq,mon.internal.media,mon.external.media,mon.personal.contact,mon.tool.notify,mon.something.breaks,upgr.packrat,upgr.packrat.eco,abst.research,abst.dep.aversion,upgr.dont.update,abst.shim,abst.clone,rework.hell,education,oss.experience,dev.experience,motive.intq1.satisfaction,motive.intq2.goodat,motive.intq3.fun,motive.intq4.achieve,motive.int,motive.staq1.skill,motive.staq2.work.status,motive.staq3.opportunity,motive.staq4.cmnty.status,motive.sta,motive.uv,motive.uvq1.fix.bug,motive.uvq2.add.feature,motive.job
1597,abandoned,user,Go,lead,<5 years,Somewhat Important,Not Important,Very Important,Important,Important,Very Important,Important,Very Important,Not Important,Important,Somewhat Important,Slightly confident,Low influence,Low influence,High influence,Medium influence,High influence,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,TRUE,self-published,no rev dependencies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1598,finished,user,Haskell (Stack/Stackage),user,<5 years,Extremely important,Important,Extremely important,Extremely important,Important,Extremely important,Important,Extremely important,Very Important,Extremely important,Very Important,Very confident,Medium influence,High influence,Highest influence,Medium influence,Low influence,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,TRUE,NA,NA,NA,Very Important,Very Important,Very Important,Very Important,Very Important,Extremely important,Somewhat Important,Extremely important,Extremely important,Very Important,Extremely important,Less than once a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,NA,NA,NA,NA,NA,NA,No,No,Never,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Version range,snapshot,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Degree,<5 years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,(mid-hi importance),(mid-low importance),(mid-hi importance),(mid importance),9,7.75,Great importance,Great importance,Great importance
1599,abandoned,developer,NuGet,lead,<5 years,Extremely important,Very Important,Very Important,Extremely important,Extremely important,Somewhat Important,Somewhat Important,Very Important,Very Important,Important,Important,Confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1600,abandoned,developer,Go,central,<5 years,Not Important,Important,Community opposes this value,Community opposes this value,Somewhat Important,Somewhat Important,I don't know,Very Important,Very Important,Somewhat Important,Extremely important,Confident,Lowest influence,Medium influence,High influence,I don't know/Not Applicable,I don't know/Not Applicable,Somewhat disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1601,abandoned,developer,NuGet,lead,<5 years,Very Important,Somewhat Important,Somewhat Important,Important,Very Important,Important,Somewhat Important,Somewhat Important,Important,Important,Important,Slightly confident,Low influence,Highest influence,High influence,Medium influence,Low influence,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1602,finished,developer,Eclipse (plugins),submitter,5+ years,Extremely important,Not Important,Very Important,Extremely important,Not Important,Very Important,Important,Important,Important,Not Important,Somewhat Important,Confident,Low influence,High influence,Low influence,I don't know/Not Applicable,Highest influence,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,TRUE,in repo,has rev dependencies,default package,Extremely important,Very Important,Very Important,Very Important,Important,Very Important,Important,Extremely important,Very Important,Very Important,Extremely important,Several times a year,Less than once a year,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,No,No,Never,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Version range,Version range,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Degree,5+ years,5+ years,Great importance,(mid-hi importance),(mid-hi importance),(mid-hi importance),12.38,(mid-low importance),(mid-low importance),(mid-low importance),(mid-low importance),5.54,7.75,Great importance,Great importance,Little importance
1603,abandoned,user,NuGet,central,5+ years,Important,Not Important,Extremely important,Very Important,Important,Extremely important,Somewhat Important,Very Important,Important,Important,Important,Slightly confident,Medium influence,Highest influence,Highest influence,Low influence,Medium influence,Somewhat agree,I don't know,I don't know,Somewhat disagree,I don't know,I don't know,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,TRUE,self-published,no rev dependencies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1604,abandoned,developer,R/Bioconductor,lead,<5 years,Extremely important,Very Important,Extremely important,Very Important,Important,Extremely important,Not Important,Important,Very Important,Very Important,Not Important,Very confident,Lowest influence,High influence,Highest influence,High influence,Lowest influence,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I don't know,I don't know,TRUE,in repo,has rev dependencies,installable package,Very Important,Extremely important,Very Important,Extremely important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Several times a year,Several times a year,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1605,abandoned,developer,NuGet,central,<5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1606,abandoned,developer,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1607,finished,user,Rust/Cargo,lead,<5 years,Important,Somewhat Important,Extremely important,Important,Very Important,Very Important,Not Important,Very Important,Extremely important,Important,Important,Very confident,Lowest influence,High influence,Highest influence,I don't know/Not Applicable,Low influence,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,TRUE,in repo,no rev dependencies,NA,Important,Somewhat Important,Very Important,Very Important,Very Important,Extremely important,Somewhat Important,Important,Very Important,Very Important,Extremely important,Less than once a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,NA,NA,NA,NA,NA,NA,Yes,Yes,Several times a month,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Version range,Version range,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Degree,5+ years,5+ years,(mid-hi importance),(mid-hi importance),Great importance,(mid importance),11.56,Great importance,Little importance,(mid importance),Little importance,6.85,3.2,Little importance,(mid-hi importance),(mid importance)
1608,finished,user,R/Bioconductor,lead,<5 years,Extremely important,Not Important,Extremely important,Extremely important,Somewhat Important,Extremely important,Community opposes this value,Extremely important,Important,Extremely important,Extremely important,Confident,High influence,High influence,Highest influence,Highest influence,I don't know/Not Applicable,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,TRUE,in repo,no rev dependencies,NA,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Not Important,Extremely important,Extremely important,Extremely important,Extremely important,Never,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,Yes,Yes,Several times a month,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Version range,Version range,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Coursework,<5 years,<5 years,Great importance,Great importance,Great importance,Great importance,14.5,Great importance,Great importance,Great importance,Great importance,13.85,7.75,Great importance,Great importance,Great importance
1609,abandoned,developer,Go,central,5+ years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1610,abandoned,developer,Go,lead,<5 years,Extremely important,Somewhat Important,Extremely important,Extremely important,Very Important,Extremely important,Somewhat Important,Somewhat Important,Not Important,Important,Important,Confident,Medium influence,High influence,Highest influence,I don't know/Not Applicable,Lowest influence,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1611,abandoned,developer,NuGet,lead,<5 years,Extremely important,Somewhat Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Important,Very Important,Very Important,Confident,High influence,High influence,Low influence,High influence,Low influence,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1612,abandoned,developer,other,central,5+ years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1613,abandoned,developer,Go,lead,<5 years,Very Important,Somewhat Important,Very Important,Extremely important,Extremely important,Extremely important,Very Important,Extremely important,Somewhat Important,Very Important,Extremely important,Very confident,High influence,High influence,High influence,Highest influence,Low influence,Somewhat agree,Somewhat agree,I don't know,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,TRUE,in repo,has rev dependencies,default package,Not Important,Very Important,Extremely important,Very Important,Extremely important,Extremely important,Extremely important,Extremely important,Somewhat Important,Very Important,Extremely important,Never,Several times a year,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Yes,Yes,Several times a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1614,abandoned,developer,Go,lead,<5 years,Extremely important,Extremely important,Very Important,Extremely important,Important,Very Important,Very Important,Very Important,Important,Extremely important,Extremely important,Very confident,Medium influence,High influence,High influence,Highest influence,High influence,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,I don't know,Neither agree nor disagree,I don't know,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,I don't know,Somewhat disagree,TRUE,self-published,has rev dependencies,installable package,Very Important,Important,Very Important,Very Important,Somewhat Important,Extremely important,Important,Important,Important,Important,Extremely important,Less than once a year,Several times a year,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,I don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1615,finished,developer,Ruby/Rubygems,lead,<5 years,Somewhat Important,Very Important,Important,Somewhat Important,Very Important,Important,Important,Very Important,Important,Somewhat Important,Very Important,Confident,Low influence,Medium influence,High influence,Highest influence,Medium influence,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,TRUE,in repo,has rev dependencies,installable package,Extremely important,Important,Extremely important,Extremely important,Very Important,Extremely important,Somewhat Important,Very Important,Very Important,Extremely important,Very Important,Several times a year,Less than once a year,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,No,No,Never,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Version range,Version range,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,None,<5 years,<5 years,Great importance,(mid-hi importance),Great importance,Great importance,13.76,(mid-low importance),Little importance,(mid importance),Little importance,4.9,7.75,Great importance,Great importance,(mid importance)
1616,finished,user,Python/PyPi,lead,<5 years,Extremely important,Very Important,Extremely important,Important,Important,Somewhat Important,Somewhat Important,Extremely important,Very Important,Somewhat Important,Important,Confident,Medium influence,High influence,Low influence,Lowest influence,Low influence,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,TRUE,self-published,no rev dependencies,NA,Important,Extremely important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Extremely important,Less than once a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,NA,NA,NA,NA,NA,NA,Yes,No,Several times a month,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Exact version number,Exact version number,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Degree,<5 years,<5 years,(mid-hi importance),(mid importance),(mid-hi importance),Great importance,11.57,Little importance,Little importance,(mid-hi importance),(mid-low importance),5.67,5.2,(mid importance),(mid-hi importance),(mid importance)
1617,abandoned,developer,NuGet,central,<5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1618,finished,user,R/Bioconductor,lead,5+ years,Not Important,Extremely important,Very Important,Very Important,Extremely important,Important,Not Important,Important,Very Important,Very Important,Important,Confident,High influence,Highest influence,Low influence,Medium influence,Lowest influence,Somewhat agree,I don't know,I don't know,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,TRUE,in repo,no rev dependencies,NA,Extremely important,Extremely important,Somewhat Important,Somewhat Important,Important,Extremely important,Not Important,Somewhat Important,Somewhat Important,Somewhat Important,Extremely important,Several times a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,NA,NA,NA,NA,NA,NA,No,No,Never,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Version range,Version range,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,None,5+ years,5+ years,(mid-hi importance),Great importance,Great importance,Great importance,13.72,(mid-hi importance),Great importance,Great importance,Great importance,13.2,6.75,(mid-hi importance),Great importance,(mid-low importance)
1619,finished,developer,Ruby/Rubygems,lead,5+ years,Very Important,Important,Not Important,Extremely important,Important,Important,Somewhat Important,Important,Important,Very Important,Extremely important,Confident,Low influence,Highest influence,High influence,Lowest influence,Medium influence,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,I don't know,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,TRUE,in repo,NA,installable package,Very Important,Very Important,Not Important,Very Important,Extremely important,Extremely important,Not Important,Important,Important,Very Important,Very Important,Several times a year,Less than once a year,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Yes,Yes,Several times a month,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Version range,Version range,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Coursework,5+ years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,(mid importance),(mid-low importance),(mid-hi importance),(mid importance),8.35,7.2,Great importance,(mid-hi importance),(mid-hi importance)
1620,finished,developer,Eclipse (plugins),central,5+ years,Extremely important,Important,Important,Extremely important,Somewhat Important,Important,Important,Important,Very Important,Somewhat Important,Not Important,Confident,Medium influence,Medium influence,Low influence,Lowest influence,Highest influence,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,TRUE,in repo,has rev dependencies,default package,Extremely important,Important,Somewhat Important,Extremely important,Important,Extremely important,Very Important,Very Important,Very Important,Very Important,Extremely important,Less than once a year,Less than once a year,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Yes,Yes,Several times a month,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Version range,Version range,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Degree,5+ years,5+ years,(mid-hi importance),(mid importance),Great importance,(mid importance),10.82,Little importance,Little importance,Little importance,Little importance,2.77,7.75,Great importance,Great importance,Great importance
1621,finished,user,Maven,lead,5+ years,Very Important,Extremely important,Very Important,Very Important,Very Important,Important,Somewhat Important,Somewhat Important,Somewhat Important,Important,Very Important,Confident,Low influence,High influence,Low influence,Low influence,Medium influence,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,TRUE,in repo,no rev dependencies,NA,Very Important,Extremely important,Very Important,Very Important,Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Important,Somewhat Important,Less than once a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,NA,NA,NA,NA,NA,NA,No,No,Never,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Exact version number,Exact version number,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Coursework,5+ years,5+ years,(mid-hi importance),(mid-hi importance),(mid-hi importance),(mid-hi importance),11.6,(mid-hi importance),(mid-hi importance),(mid importance),(mid-hi importance),10.34,5.75,(mid importance),Great importance,(mid importance)
1622,finished,developer,Maven,lead,5+ years,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Important,Important,I don't know,Not Important,Important,Not Important,Confident,Low influence,Medium influence,High influence,Low influence,Low influence,Neither agree nor disagree,Somewhat disagree,Strongly disagree,I don't know,Somewhat agree,I don't know,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,TRUE,in repo,has rev dependencies,default package,Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Several times a year,Several times a year,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Yes,No,Several times a year,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Exact version number,Exact version number,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,None,5+ years,5+ years,Great importance,Great importance,(mid-hi importance),Great importance,13.83,Great importance,(mid-hi importance),(mid-hi importance),Great importance,12.41,4.65,(mid importance),(mid importance),(mid-hi importance)
